Species2,Country2,Speciality2,Source2,Year2,Antifungals,MIC_Interpretation
Candida albicans,Ireland,Hematology/Oncology,Wound/Drainage/Ulcer,2012,Voriconazole,Susceptible
Candida albicans,Ireland,Hematology/Oncology,Wound/Drainage/Ulcer,2012,Fluconazole,Susceptible
Candida albicans,Ireland,Hematology/Oncology,Wound/Drainage/Ulcer,2012,Anidulafungin,Susceptible
Candida albicans,Ireland,Hematology/Oncology,Wound/Drainage/Ulcer,2012,Micafungin,Susceptible
Candida albicans,Ireland,Unknown,Unknown,2012,Caspofungin,Susceptible
Candida albicans,Ireland,Unknown,Unknown,2012,Voriconazole,Susceptible
Candida glabrata,Ireland,Unknown,Unknown,2012,Anidulafungin,Susceptible
Candida glabrata,Ireland,Unknown,Unknown,2012,Fluconazole,Intermediate
Candida glabrata,Ireland,Unknown,Unknown,2012,Micafungin,Susceptible
Candida parapsilosis,Belgium,Unknown,Unknown,2012,Fluconazole,Susceptible
Candida parapsilosis,Belgium,Unknown,Unknown,2012,Anidulafungin,Susceptible
Candida parapsilosis,Belgium,Unknown,Unknown,2012,Micafungin,Susceptible
Candida parapsilosis,Belgium,Unknown,Unknown,2012,Caspofungin,Susceptible
Candida parapsilosis,Belgium,Unknown,Unknown,2012,Voriconazole,Susceptible
Candida parapsilosis,Belgium,Unknown,Unknown,2012,Fluconazole,Susceptible
Candida parapsilosis,Belgium,Unknown,Unknown,2012,Anidulafungin,Susceptible
Candida parapsilosis,Belgium,Unknown,Unknown,2012,Micafungin,Susceptible
Candida parapsilosis,USA,Pediatrics/Neonate,Blood culture,2012,Anidulafungin,Intermediate
Candida parapsilosis,USA,Pediatrics/Neonate,Blood culture,2012,Caspofungin,Susceptible
Candida parapsilosis,USA,Pediatrics/Neonate,Blood culture,2012,Voriconazole,Susceptible
Candida glabrata,USA,General/GI,Blood culture,2012,Caspofungin,Resistant
Candida glabrata,USA,General/GI,Blood culture,2012,Micafungin,Susceptible
Candida parapsilosis,USA,Intensive Care Unit,Blood culture,2012,Caspofungin,Susceptible
Candida parapsilosis,USA,Intensive Care Unit,Blood culture,2012,Voriconazole,Susceptible
Candida parapsilosis,USA,Pediatrics/Neonate,Blood culture,2012,Fluconazole,Susceptible
Candida parapsilosis,Singapore,Intensive Care Unit,Blood culture,2012,Anidulafungin,Susceptible
Candida parapsilosis,Singapore,Intensive Care Unit,Blood culture,2012,Micafungin,Susceptible
Candida parapsilosis,Singapore,Intensive Care Unit,Blood culture,2012,Caspofungin,Susceptible
Candida parapsilosis,Singapore,Intensive Care Unit,Blood culture,2012,Voriconazole,Susceptible
Candida parapsilosis,Singapore,Internal Medicine,Blood culture,2012,Fluconazole,Susceptible
Candida parapsilosis,Spain,Internal Medicine,Blood culture,2012,Caspofungin,Susceptible
Candida parapsilosis,Spain,Internal Medicine,Blood culture,2012,Voriconazole,Susceptible
Candida parapsilosis,Spain,Hematology/Oncology,Blood culture,2012,Fluconazole,Susceptible
Candida parapsilosis,Spain,General/GI,Blood culture,2012,Micafungin,Susceptible
Candida krusei,USA,Pediatrics/Neonate,Blood culture,2012,Caspofungin,Susceptible
Candida krusei,USA,Pediatrics/Neonate,Blood culture,2012,Voriconazole,Susceptible
Candida tropicalis,Singapore,Intensive Care Unit,Blood culture,2012,Fluconazole,Susceptible
Candida tropicalis,Singapore,Surgery,Blood culture,2012,Anidulafungin,Susceptible
Candida tropicalis,Singapore,Surgery,Blood culture,2012,Micafungin,Susceptible
Candida tropicalis,Singapore,Internal Medicine,Blood culture,2012,Caspofungin,Susceptible
Candida tropicalis,Singapore,Internal Medicine,Blood culture,2012,Voriconazole,Susceptible
Candida tropicalis,Singapore,Surgery,Blood culture,2012,Fluconazole,Susceptible
Candida tropicalis,Singapore,Rehabilitation,Blood culture,2012,Anidulafungin,Susceptible
Candida tropicalis,Singapore,Rehabilitation,Blood culture,2012,Micafungin,Susceptible
Candida tropicalis,Singapore,Internal Medicine,Blood culture,2012,Caspofungin,Susceptible
Candida tropicalis,Singapore,Internal Medicine,Blood culture,2012,Voriconazole,Susceptible
Candida tropicalis,Singapore,Surgery,Blood culture,2012,Fluconazole,Susceptible
Candida tropicalis,Singapore,Neurology,Blood culture,2012,Anidulafungin,Susceptible
Candida tropicalis,Singapore,Neurology,Blood culture,2012,Micafungin,Susceptible
Candida tropicalis,Singapore,Unknown,Blood culture,2012,Caspofungin,Susceptible
Candida tropicalis,Singapore,Unknown,Blood culture,2012,Voriconazole,Susceptible
Candida tropicalis,Spain,Internal Medicine,Blood culture,2012,Fluconazole,Susceptible
Candida glabrata,USA,Intensive Care Unit,Blood culture,2012,Anidulafungin,Susceptible
Candida glabrata,USA,Intensive Care Unit,Blood culture,2012,Fluconazole,Intermediate
Candida glabrata,USA,Intensive Care Unit,Blood culture,2012,Micafungin,Susceptible
Candida glabrata,Singapore,Surgery,Blood culture,2012,Caspofungin,Susceptible
Candida glabrata,Singapore,Surgery,Blood culture,2012,Anidulafungin,Susceptible
Candida glabrata,Singapore,Surgery,Blood culture,2012,Fluconazole,Intermediate
Candida glabrata,Singapore,Surgery,Blood culture,2012,Micafungin,Susceptible
Candida glabrata,Singapore,Intensive Care Unit,Blood culture,2012,Caspofungin,Susceptible
Candida glabrata,Singapore,Intensive Care Unit,Blood culture,2012,Anidulafungin,Susceptible
Candida glabrata,Singapore,Intensive Care Unit,Blood culture,2012,Fluconazole,Intermediate
Candida glabrata,Singapore,Intensive Care Unit,Blood culture,2012,Micafungin,Susceptible
Candida glabrata,Spain,Urology/Prostate,Blood culture,2012,Caspofungin,Susceptible
Candida glabrata,Spain,Obstetrics/Gynecology,Blood culture,2012,Anidulafungin,Susceptible
Candida glabrata,Spain,Obstetrics/Gynecology,Blood culture,2012,Fluconazole,Intermediate
Candida glabrata,Spain,Obstetrics/Gynecology,Blood culture,2012,Micafungin,Susceptible
Candida albicans,Belgium,Surgery,Abscess (pus),2012,Caspofungin,Susceptible
Candida albicans,Belgium,Surgery,Abscess (pus),2012,Voriconazole,Susceptible
Candida albicans,Belgium,Unknown,Unknown,2012,Fluconazole,Susceptible
Candida albicans,Belgium,Unknown,Unknown,2012,Anidulafungin,Susceptible
Candida albicans,Belgium,Unknown,Unknown,2012,Micafungin,Susceptible
Candida albicans,Belgium,Unknown,Unknown,2012,Caspofungin,Susceptible
Candida albicans,Belgium,Unknown,Unknown,2012,Voriconazole,Susceptible
Candida albicans,Belgium,Unknown,Unknown,2012,Fluconazole,Susceptible
Candida albicans,Belgium,Unknown,Unknown,2012,Anidulafungin,Susceptible
Candida albicans,Belgium,Unknown,Unknown,2012,Micafungin,Susceptible
Candida albicans,Belgium,Unknown,Unknown,2012,Caspofungin,Susceptible
Candida albicans,Belgium,Unknown,Unknown,2012,Voriconazole,Susceptible
Candida albicans,Belgium,Unknown,Unknown,2012,Fluconazole,Susceptible
Candida albicans,Belgium,Unknown,Unknown,2012,Anidulafungin,Susceptible
Candida albicans,Belgium,Unknown,Unknown,2012,Micafungin,Susceptible
Candida albicans,USA,Intensive Care Unit,Blood culture,2012,Caspofungin,Susceptible
Candida albicans,USA,Intensive Care Unit,Blood culture,2012,Voriconazole,Susceptible
Candida albicans,USA,Hematology/Oncology,Blood culture,2012,Fluconazole,Susceptible
Candida albicans,USA,Hematology/Oncology,Blood culture,2012,Anidulafungin,Susceptible
Candida albicans,USA,Hematology/Oncology,Blood culture,2012,Micafungin,Susceptible
Candida albicans,USA,Intensive Care Unit,Blood culture,2012,Caspofungin,Susceptible
Candida albicans,USA,Intensive Care Unit,Blood culture,2012,Voriconazole,Susceptible
Candida albicans,Singapore,Surgery,Blood culture,2012,Fluconazole,Susceptible
Candida albicans,Singapore,Intensive Care Unit,Blood culture,2012,Anidulafungin,Susceptible
Candida albicans,Singapore,Intensive Care Unit,Blood culture,2012,Micafungin,Susceptible
Candida albicans,Singapore,Intensive Care Unit,Blood culture,2012,Caspofungin,Susceptible
Candida albicans,Singapore,Intensive Care Unit,Blood culture,2012,Voriconazole,Susceptible
Candida albicans,Singapore,Internal Medicine,Blood culture,2012,Fluconazole,Susceptible
Candida albicans,Singapore,Surgery,Blood culture,2012,Anidulafungin,Susceptible
Candida albicans,Singapore,Surgery,Blood culture,2012,Micafungin,Susceptible
Candida albicans,Singapore,Surgery,Blood culture,2012,Caspofungin,Susceptible
Candida albicans,Singapore,Surgery,Blood culture,2012,Voriconazole,Susceptible
Candida albicans,Singapore,Surgery,Blood culture,2012,Fluconazole,Susceptible
Candida albicans,Singapore,Intensive Care Unit,Blood culture,2012,Anidulafungin,Susceptible
Candida albicans,Singapore,Intensive Care Unit,Blood culture,2012,Micafungin,Susceptible
Candida albicans,Singapore,Internal Medicine,Blood culture,2012,Caspofungin,Susceptible
Candida albicans,Singapore,Internal Medicine,Blood culture,2012,Voriconazole,Susceptible
Candida albicans,Singapore,Intensive Care Unit,Blood culture,2012,Fluconazole,Susceptible
Candida albicans,Singapore,Intensive Care Unit,Blood culture,2012,Anidulafungin,Susceptible
Candida albicans,Singapore,Intensive Care Unit,Blood culture,2012,Micafungin,Susceptible
Candida albicans,Singapore,Internal Medicine,Blood culture,2012,Caspofungin,Susceptible
Candida albicans,Singapore,Internal Medicine,Blood culture,2012,Voriconazole,Susceptible
Candida albicans,Singapore,Internal Medicine,Blood culture,2012,Fluconazole,Susceptible
Candida albicans,Singapore,Internal Medicine,Blood culture,2012,Anidulafungin,Susceptible
Candida albicans,Singapore,Internal Medicine,Blood culture,2012,Micafungin,Susceptible
Candida albicans,Singapore,Surgery,Blood culture,2012,Caspofungin,Susceptible
Candida albicans,Singapore,Surgery,Blood culture,2012,Voriconazole,Susceptible
Candida albicans,Spain,Internal Medicine,Blood culture,2012,Fluconazole,Susceptible
Candida albicans,Spain,Internal Medicine,Blood culture,2012,Anidulafungin,Susceptible
Candida albicans,Spain,Internal Medicine,Blood culture,2012,Micafungin,Susceptible
Candida albicans,Spain,General/GI,Blood culture,2012,Caspofungin,Susceptible
Candida albicans,Spain,General/GI,Blood culture,2012,Voriconazole,Susceptible
Candida albicans,Spain,General/GI,Blood culture,2012,Fluconazole,Susceptible
Candida albicans,Spain,Pediatrics/Neonate,Blood culture,2012,Anidulafungin,Susceptible
Candida albicans,Spain,Pediatrics/Neonate,Blood culture,2012,Micafungin,Susceptible
Candida albicans,Spain,Psychiatry,Blood culture,2012,Caspofungin,Susceptible
Candida albicans,Spain,Psychiatry,Blood culture,2012,Voriconazole,Susceptible
Candida albicans,Spain,Hematology/Oncology,Blood culture,2012,Fluconazole,Susceptible
Candida albicans,Spain,Internal Medicine,Blood culture,2012,Anidulafungin,Susceptible
Candida albicans,Spain,Internal Medicine,Blood culture,2012,Micafungin,Susceptible
Candida albicans,Spain,Hematology/Oncology,Blood culture,2012,Caspofungin,Susceptible
Candida albicans,Spain,Hematology/Oncology,Blood culture,2012,Voriconazole,Susceptible
Candida albicans,Spain,Internal Medicine,Blood culture,2012,Fluconazole,Susceptible
Candida albicans,Spain,General/GI,Blood culture,2012,Anidulafungin,Susceptible
Candida albicans,Spain,General/GI,Blood culture,2012,Micafungin,Susceptible
Candida albicans,Spain,Internal Medicine,Blood culture,2012,Caspofungin,Susceptible
Candida albicans,Spain,Internal Medicine,Blood culture,2012,Voriconazole,Susceptible
Candida albicans,Spain,Hematology/Oncology,Blood culture,2012,Voriconazole,Intermediate
Candida albicans,Spain,Unknown,Blood culture,2012,Anidulafungin,Susceptible
Candida albicans,Spain,Unknown,Blood culture,2012,Micafungin,Susceptible
Candida albicans,Spain,Unknown,Blood culture,2012,Caspofungin,Susceptible
Candida albicans,Spain,Unknown,Blood culture,2012,Voriconazole,Susceptible
Candida albicans,Spain,Unknown,Blood culture,2012,Fluconazole,Susceptible
Candida albicans,Spain,Unknown,Blood culture,2012,Anidulafungin,Susceptible
Candida albicans,Spain,Unknown,Blood culture,2012,Micafungin,Susceptible
Candida albicans,Spain,Unknown,Blood culture,2012,Caspofungin,Susceptible
Candida albicans,Spain,Unknown,Blood culture,2012,Voriconazole,Susceptible
Candida albicans,Spain,Unknown,Blood culture,2012,Fluconazole,Susceptible
Candida tropicalis,USA,Internal Medicine,Blood culture,2012,Anidulafungin,Susceptible
Candida tropicalis,USA,Internal Medicine,Blood culture,2012,Micafungin,Susceptible
Candida krusei,USA,Internal Medicine,Bronchoalveolar lavage/wash,2012,Caspofungin,Susceptible
Candida krusei,USA,Internal Medicine,Bronchoalveolar lavage/wash,2012,Voriconazole,Susceptible
Candida krusei,UK,Hematology/Oncology,Blood culture,2012,Anidulafungin,Susceptible
Candida krusei,UK,Hematology/Oncology,Blood culture,2012,Micafungin,Susceptible
Candida tropicalis,UK,Intensive Care Unit,Blood culture,2012,Caspofungin,Susceptible
Candida tropicalis,UK,Intensive Care Unit,Blood culture,2012,Voriconazole,Susceptible
Candida tropicalis,UK,Pediatrics/Neonate,Blood culture,2012,Fluconazole,Susceptible
Candida krusei,UK,Hematology/Oncology,Blood culture,2012,Anidulafungin,Susceptible
Candida krusei,UK,Hematology/Oncology,Blood culture,2012,Micafungin,Susceptible
Candida krusei,UK,Geriatics,Blood culture,2012,Caspofungin,Susceptible
Candida krusei,UK,Geriatics,Blood culture,2012,Voriconazole,Susceptible
Candida parapsilosis,Spain,Unknown,Blood culture,2012,Fluconazole,Susceptible
Candida parapsilosis,UK,General/GI,Blood culture,2012,Micafungin,Susceptible
Candida parapsilosis,UK,Hematology/Oncology,Blood culture,2012,Caspofungin,Susceptible
Candida parapsilosis,UK,Hematology/Oncology,Blood culture,2012,Voriconazole,Susceptible
Candida glabrata,UK,Intensive Care Unit,Blood culture,2012,Caspofungin,Susceptible
Candida albicans,Spain,Unknown,Blood culture,2012,Caspofungin,Susceptible
Candida albicans,Spain,Unknown,Blood culture,2012,Voriconazole,Susceptible
Candida albicans,USA,Internal Medicine,Blood culture,2012,Fluconazole,Susceptible
Candida albicans,USA,Internal Medicine,Blood culture,2012,Anidulafungin,Susceptible
Candida albicans,USA,Internal Medicine,Blood culture,2012,Micafungin,Susceptible
Candida albicans,USA,Cardiothoracic/Pulmonary,Blood culture,2012,Caspofungin,Susceptible
Candida albicans,USA,Cardiothoracic/Pulmonary,Blood culture,2012,Voriconazole,Susceptible
Candida albicans,USA,Cardiothoracic/Pulmonary,Blood culture,2012,Fluconazole,Susceptible
Candida albicans,UK,Geriatics,Blood culture,2012,Anidulafungin,Susceptible
Candida albicans,UK,Geriatics,Blood culture,2012,Micafungin,Susceptible
Candida albicans,UK,Cardiothoracic/Pulmonary,Blood culture,2012,Caspofungin,Susceptible
Candida albicans,UK,Cardiothoracic/Pulmonary,Blood culture,2012,Voriconazole,Susceptible
Candida glabrata,USA,Family Practice,Blood culture,2012,Anidulafungin,Susceptible
Candida glabrata,USA,Family Practice,Blood culture,2012,Fluconazole,Intermediate
Candida glabrata,USA,Family Practice,Blood culture,2012,Micafungin,Susceptible
Candida glabrata,USA,Cardiothoracic/Pulmonary,Blood culture,2012,Caspofungin,Susceptible
Candida glabrata,UK,General/GI,Blood culture,2012,Anidulafungin,Susceptible
Candida glabrata,UK,General/GI,Blood culture,2012,Fluconazole,Intermediate
Candida glabrata,UK,General/GI,Blood culture,2012,Micafungin,Susceptible
Candida glabrata,UK,General/GI,Blood culture,2012,Caspofungin,Susceptible
Candida glabrata,USA,General/GI,Blood culture,2012,Anidulafungin,Susceptible
Candida glabrata,USA,General/GI,Blood culture,2012,Fluconazole,Intermediate
Candida glabrata,USA,General/GI,Blood culture,2012,Micafungin,Susceptible
Candida albicans,Spain,Unknown,Blood culture,2012,Caspofungin,Susceptible
Candida albicans,Spain,Unknown,Blood culture,2012,Voriconazole,Susceptible
Candida albicans,Spain,Unknown,Blood culture,2012,Fluconazole,Susceptible
Candida albicans,Spain,Unknown,Blood culture,2012,Anidulafungin,Susceptible
Candida albicans,Spain,Unknown,Blood culture,2012,Micafungin,Susceptible
Candida albicans,Spain,Unknown,Blood culture,2012,Caspofungin,Susceptible
Candida albicans,Spain,Unknown,Blood culture,2012,Voriconazole,Susceptible
Candida albicans,USA,Internal Medicine,Bronchoalveolar lavage/wash,2012,Fluconazole,Susceptible
Candida albicans,USA,General/GI,Sputum,2012,Anidulafungin,Susceptible
Candida albicans,USA,General/GI,Sputum,2012,Micafungin,Susceptible
Candida albicans,USA,Internal Medicine,Bronchoalveolar lavage/wash,2012,Caspofungin,Susceptible
Candida albicans,USA,Internal Medicine,Bronchoalveolar lavage/wash,2012,Voriconazole,Susceptible
Candida albicans,USA,Family Practice,Bronchoalveolar lavage/wash,2012,Fluconazole,Susceptible
Candida albicans,UK,Emergency,Blood culture,2012,Anidulafungin,Susceptible
Candida albicans,UK,Emergency,Blood culture,2012,Micafungin,Susceptible
Candida albicans,UK,Pediatrics/Neonate,Blood culture,2012,Caspofungin,Susceptible
Candida albicans,UK,Pediatrics/Neonate,Blood culture,2012,Voriconazole,Susceptible
Candida albicans,UK,Intensive Care Unit,Blood culture,2012,Fluconazole,Susceptible
Candida albicans,UK,Pediatrics/Neonate,Blood culture,2012,Anidulafungin,Susceptible
Candida albicans,UK,Pediatrics/Neonate,Blood culture,2012,Micafungin,Susceptible
Candida albicans,USA,Intensive Care Unit,Blood culture,2012,Caspofungin,Susceptible
Candida albicans,USA,Intensive Care Unit,Blood culture,2012,Voriconazole,Susceptible
Candida albicans,USA,Pediatrics/Neonate,Blood culture,2012,Fluconazole,Susceptible
Candida albicans,USA,General/GI,Blood culture,2012,Anidulafungin,Susceptible
Candida albicans,USA,General/GI,Blood culture,2012,Micafungin,Susceptible
Candida albicans,USA,Intensive Care Unit,Blood culture,2012,Caspofungin,Susceptible
Candida albicans,USA,Intensive Care Unit,Blood culture,2012,Voriconazole,Susceptible
Aspergillus fumigatus,France,Ambulatory/Outpatient,Bronchoalveolar lavage/wash,2012,Voriconazole,Susceptible
Aspergillus fumigatus,France,Hematology/Oncology,Sputum,2012,Voriconazole,Susceptible
Aspergillus fumigatus,France,Hematology/Oncology,Bronchoalveolar lavage/wash,2012,Voriconazole,Susceptible
Aspergillus fumigatus,France,Ambulatory/Outpatient,Bronchoalveolar lavage/wash,2012,Voriconazole,Susceptible
Aspergillus fumigatus,France,Cardiothoracic/Pulmonary,Sputum,2012,Voriconazole,Susceptible
Aspergillus fumigatus,France,Hematology/Oncology,Bronchoalveolar lavage/wash,2012,Voriconazole,Susceptible
Candida albicans,Italy,Surgery,Blood culture,2012,Anidulafungin,Susceptible
Candida albicans,Italy,Surgery,Blood culture,2012,Micafungin,Susceptible
Candida albicans,Italy,Intensive Care Unit,Blood culture,2012,Caspofungin,Susceptible
Candida albicans,Italy,Intensive Care Unit,Blood culture,2012,Voriconazole,Susceptible
Candida albicans,Italy,Intensive Care Unit,Blood culture,2012,Fluconazole,Susceptible
Candida albicans,Italy,Internal Medicine,Blood culture,2012,Anidulafungin,Susceptible
Candida albicans,Italy,Internal Medicine,Blood culture,2012,Micafungin,Susceptible
Candida albicans,Italy,Intensive Care Unit,Blood culture,2012,Caspofungin,Susceptible
Candida albicans,Italy,Intensive Care Unit,Blood culture,2012,Voriconazole,Susceptible
Candida albicans,Italy,Surgery,Blood culture,2012,Fluconazole,Susceptible
Candida albicans,Italy,Transplant,Blood culture,2012,Anidulafungin,Susceptible
Candida albicans,Italy,Transplant,Blood culture,2012,Micafungin,Susceptible
Candida albicans,Italy,Cardiothoracic/Pulmonary,Catheter,2012,Caspofungin,Susceptible
Candida albicans,Italy,Cardiothoracic/Pulmonary,Catheter,2012,Voriconazole,Susceptible
Candida albicans,Italy,Surgery,Blood culture,2012,Fluconazole,Susceptible
Candida albicans,Italy,Surgery,Blood culture,2012,Anidulafungin,Susceptible
Candida albicans,Italy,Surgery,Blood culture,2012,Micafungin,Susceptible
Candida albicans,Italy,Neurology,Catheter,2012,Caspofungin,Susceptible
Candida albicans,Italy,Neurology,Catheter,2012,Voriconazole,Susceptible
Candida albicans,Italy,Intensive Care Unit,Catheter,2012,Fluconazole,Susceptible
Candida albicans,Italy,Surgery,Blood culture,2012,Anidulafungin,Susceptible
Candida albicans,Italy,Surgery,Blood culture,2012,Micafungin,Susceptible
Candida albicans,Italy,Surgery,Blood culture,2012,Caspofungin,Susceptible
Candida albicans,Italy,Surgery,Blood culture,2012,Voriconazole,Susceptible
Candida albicans,Italy,Intensive Care Unit,Catheter,2012,Fluconazole,Susceptible
Candida albicans,Italy,Cardiothoracic/Pulmonary,Catheter,2012,Anidulafungin,Susceptible
Candida albicans,Italy,Cardiothoracic/Pulmonary,Catheter,2012,Micafungin,Susceptible
Candida albicans,Italy,Surgery,Catheter,2012,Caspofungin,Susceptible
Candida albicans,Italy,Surgery,Catheter,2012,Voriconazole,Susceptible
Candida albicans,Italy,Neurosurgery,Aspirate,2012,Fluconazole,Susceptible
Candida albicans,Italy,Surgery,Catheter,2012,Anidulafungin,Susceptible
Candida albicans,Italy,Surgery,Catheter,2012,Micafungin,Susceptible
Candida albicans,Italy,Surgery,Catheter,2012,Caspofungin,Susceptible
Candida albicans,Italy,Surgery,Catheter,2012,Voriconazole,Susceptible
Candida albicans,Canada,Neurology,Blood culture,2012,Fluconazole,Susceptible
Candida albicans,Canada,Intensive Care Unit,Blood culture,2012,Anidulafungin,Susceptible
Candida albicans,Canada,Intensive Care Unit,Blood culture,2012,Micafungin,Susceptible
Candida albicans,Canada,Internal Medicine,Blood culture,2012,Caspofungin,Susceptible
Candida albicans,Canada,Internal Medicine,Blood culture,2012,Voriconazole,Susceptible
Candida albicans,Canada,Pediatrics/Neonate,Blood culture,2012,Fluconazole,Susceptible
Candida albicans,Canada,Intensive Care Unit,Blood culture,2012,Anidulafungin,Susceptible
Candida albicans,Canada,Intensive Care Unit,Blood culture,2012,Micafungin,Susceptible
Candida albicans,Canada,Internal Medicine,Blood culture,2012,Caspofungin,Susceptible
Candida albicans,Canada,Internal Medicine,Blood culture,2012,Voriconazole,Susceptible
Candida albicans,Canada,Internal Medicine,Blood culture,2012,Fluconazole,Susceptible
Candida albicans,Canada,Pediatrics/Neonate,Blood culture,2012,Anidulafungin,Susceptible
Candida albicans,Canada,Pediatrics/Neonate,Blood culture,2012,Micafungin,Susceptible
Candida albicans,Canada,Intensive Care Unit,Blood culture,2012,Caspofungin,Susceptible
Candida albicans,Canada,Intensive Care Unit,Blood culture,2012,Voriconazole,Susceptible
Candida albicans,Canada,Hematology/Oncology,Blood culture,2012,Fluconazole,Susceptible
Candida albicans,Canada,Cardiothoracic/Pulmonary,Blood culture,2012,Anidulafungin,Susceptible
Candida albicans,Canada,Cardiothoracic/Pulmonary,Blood culture,2012,Micafungin,Susceptible
Candida albicans,Canada,Surgery,Blood culture,2012,Caspofungin,Susceptible
Candida albicans,Canada,Surgery,Blood culture,2012,Voriconazole,Susceptible
Candida albicans,Canada,Orthopedics,Blood culture,2012,Fluconazole,Susceptible
Candida albicans,Canada,Intensive Care Unit,Blood culture,2012,Anidulafungin,Susceptible
Candida albicans,Canada,Intensive Care Unit,Blood culture,2012,Micafungin,Susceptible
Candida albicans,Canada,Intensive Care Unit,Blood culture,2012,Caspofungin,Susceptible
Candida albicans,Canada,Intensive Care Unit,Blood culture,2012,Voriconazole,Susceptible
Candida albicans,France,Intensive Care Unit,Blood culture,2012,Fluconazole,Susceptible
Candida albicans,France,Hematology/Oncology,Blood culture,2012,Anidulafungin,Susceptible
Candida albicans,France,Hematology/Oncology,Blood culture,2012,Fluconazole,Intermediate
Candida albicans,France,Hematology/Oncology,Blood culture,2012,Micafungin,Susceptible
Candida albicans,France,Unknown,Blood culture,2012,Caspofungin,Susceptible
Candida albicans,France,Unknown,Blood culture,2012,Voriconazole,Susceptible
Candida albicans,France,Intensive Care Unit,Blood culture,2012,Fluconazole,Susceptible
Candida albicans,France,Renal,Blood culture,2012,Anidulafungin,Susceptible
Candida albicans,France,Renal,Blood culture,2012,Micafungin,Susceptible
Candida albicans,France,Intensive Care Unit,Blood culture,2012,Caspofungin,Susceptible
Candida albicans,France,Intensive Care Unit,Blood culture,2012,Voriconazole,Susceptible
Candida albicans,France,Intensive Care Unit,Blood culture,2012,Fluconazole,Susceptible
Candida albicans,France,Intensive Care Unit,Blood culture,2012,Anidulafungin,Susceptible
Candida albicans,France,Intensive Care Unit,Blood culture,2012,Micafungin,Susceptible
Candida albicans,France,Ambulatory/Outpatient,Blood culture,2012,Caspofungin,Susceptible
Candida albicans,France,Ambulatory/Outpatient,Blood culture,2012,Voriconazole,Susceptible
Candida albicans,France,Surgery,Peritoneal fluid,2012,Fluconazole,Susceptible
Candida albicans,France,Hematology/Oncology,Blood culture,2012,Anidulafungin,Susceptible
Candida albicans,France,Hematology/Oncology,Blood culture,2012,Micafungin,Susceptible
Candida albicans,Portugal,Hematology/Oncology,Blood culture,2012,Caspofungin,Susceptible
Candida albicans,Portugal,Hematology/Oncology,Blood culture,2012,Voriconazole,Susceptible
Candida albicans,Portugal,Hematology/Oncology,Blood culture,2012,Fluconazole,Susceptible
Candida albicans,Portugal,Infectious Disease,Blood culture,2012,Anidulafungin,Susceptible
Candida albicans,Portugal,Infectious Disease,Blood culture,2012,Micafungin,Susceptible
Candida albicans,Portugal,Geriatics,Blood culture,2012,Caspofungin,Susceptible
Candida albicans,Portugal,Geriatics,Blood culture,2012,Voriconazole,Susceptible
Candida albicans,Portugal,Hematology/Oncology,Blood culture,2012,Fluconazole,Susceptible
Candida albicans,Portugal,Infectious Disease,Blood culture,2012,Anidulafungin,Susceptible
Candida albicans,Portugal,Infectious Disease,Blood culture,2012,Micafungin,Susceptible
Candida albicans,Portugal,Hematology/Oncology,Blood culture,2012,Caspofungin,Susceptible
Candida albicans,Portugal,Hematology/Oncology,Blood culture,2012,Voriconazole,Susceptible
Candida albicans,Portugal,Hematology/Oncology,Blood culture,2012,Fluconazole,Susceptible
Candida albicans,Portugal,Infectious Disease,Blood culture,2012,Anidulafungin,Susceptible
Candida albicans,Portugal,Infectious Disease,Blood culture,2012,Micafungin,Susceptible
Candida albicans,Portugal,Hematology/Oncology,Blood culture,2012,Caspofungin,Susceptible
Candida albicans,Portugal,Hematology/Oncology,Blood culture,2012,Voriconazole,Susceptible
Candida albicans,Portugal,Geriatics,Blood culture,2012,Fluconazole,Susceptible
Candida albicans,Portugal,Geriatics,Blood culture,2012,Anidulafungin,Susceptible
Candida albicans,Portugal,Geriatics,Blood culture,2012,Micafungin,Susceptible
Candida albicans,Portugal,Infectious Disease,Blood culture,2012,Caspofungin,Susceptible
Candida albicans,Portugal,Infectious Disease,Blood culture,2012,Voriconazole,Susceptible
Candida albicans,Portugal,Hematology/Oncology,Blood culture,2012,Fluconazole,Susceptible
Candida albicans,Portugal,Geriatics,Blood culture,2012,Anidulafungin,Susceptible
Candida albicans,Portugal,Geriatics,Blood culture,2012,Micafungin,Susceptible
Candida albicans,Portugal,Hematology/Oncology,Blood culture,2012,Caspofungin,Susceptible
Candida albicans,Portugal,Hematology/Oncology,Blood culture,2012,Voriconazole,Susceptible
Candida albicans,Portugal,Hematology/Oncology,Blood culture,2012,Fluconazole,Susceptible
Candida albicans,Portugal,Infectious Disease,Blood culture,2012,Anidulafungin,Susceptible
Candida albicans,Portugal,Infectious Disease,Blood culture,2012,Micafungin,Susceptible
Candida albicans,Portugal,Geriatics,Blood culture,2012,Caspofungin,Susceptible
Candida albicans,Portugal,Geriatics,Blood culture,2012,Voriconazole,Susceptible
Candida albicans,Portugal,Infectious Disease,Blood culture,2012,Fluconazole,Susceptible
Candida albicans,Portugal,Hematology/Oncology,Blood culture,2012,Anidulafungin,Susceptible
Candida albicans,Portugal,Hematology/Oncology,Blood culture,2012,Micafungin,Susceptible
Candida albicans,Portugal,Hematology/Oncology,Blood culture,2012,Caspofungin,Susceptible
